name,prefix_1,prefix_2,conferences
Golden State Warriors,gs,golden-state-warriors,Western conference
Los Angeles Clippers,lac,los-angeles-clippers,Western conference
Los Angeles Lakers,lal,los-angeles-lakers,Western conference
Phoenix Suns,phx,phoenix-suns,Western conference
Sacramento Kings,sac,sacramento-kings,Western conference
Dallas Mavericks,dal,dallas-mavericks,Western conference
Houston Rockets,hou,houston-rockets,Western conference
Memphis Grizzlies,mem,memphis-grizzlies,Western conference
New Orleans Pelicans,no,new-orleans-pelicans,Western conference
San Antonio Spurs,sa,san-antonio-spurs,Western conference
Orlando Magic,orl,orlando-magic,,Western conference
Denver Nuggets,den,denver-nuggets,Western conference
Minnesota Timberwolves,min,minnesota-timberwolves,Western conference
Oklahoma City Thunder,okc,oklahoma-city-thunder,Western conference
Portland Trail Blazers,por,portland-trail-blazers,Western conference
Utah Jazz,uta,utah-jazz,Western conference
